date,flow_cms,infill_flag
1954-12-25,4.038859209350765,infilled_5
1954-12-26,3.0777216448667493,infilled_5
1954-12-27,2.641393217387728,infilled_5
1954-12-28,2.9993871061832365,infilled_5
1954-12-29,3.541554053632013,infilled_5
1954-12-30,5.939496800035243,infilled_5
1954-12-31,6.929791422962922,infilled_5
1955-01-01,5.65376977792298,infilled_5
1955-01-02,3.850959991154632,infilled_5
1955-01-03,3.2393520681363746,infilled_5
1955-01-04,2.5949505649284608,infilled_5
1955-01-05,2.0577332180264944,infilled_5
1955-01-06,1.873709830385526,infilled_5
1955-01-07,1.7295485458455304,infilled_5
1955-01-08,1.662685582925028,infilled_5
1955-01-09,1.4838776751267677,infilled_5
1955-01-10,1.459592637948868,infilled_5
1955-01-11,1.475173082540899,infilled_5
1955-01-12,1.5952128584335123,infilled_5
1955-01-13,2.433614622489777,infilled_5
1955-01-14,2.0062106440796015,infilled_5
1955-01-15,1.9088269561592972,infilled_5
1955-01-16,1.903053450086533,infilled_5
1955-01-17,1.9978543675474343,infilled_5
1955-01-18,1.6690215196918907,infilled_5
1955-01-19,1.4159654842097606,infilled_5
1955-01-20,1.2889237939604243,infilled_5
1955-01-21,1.18176604948546,infilled_5
1955-01-22,1.4254454369339609,infilled_5
1955-01-23,2.848053617797298,infilled_5
1955-01-24,2.8740163981093234,infilled_5
1955-01-25,3.4028415500372944,infilled_5
1955-01-26,2.8165503032646555,infilled_5
1955-01-27,2.428068707689205,infilled_5
1955-01-28,2.181769771378986,infilled_5
1955-01-29,1.9410522441007632,infilled_5
1955-01-30,2.238506401557781,infilled_5
1955-01-31,6.24826323971901,infilled_5
1955-02-01,4.394371025524555,infilled_5
1955-02-02,2.5670790468173923,infilled_5
1955-02-03,2.301232342236938,infilled_5
1955-02-04,2.501296609062246,infilled_5
1955-02-05,2.3115443600733014,infilled_5
1955-02-06,2.342692051283215,infilled_5
1955-02-07,4.163242249989288,infilled_5
1955-02-08,3.1583622988812423,infilled_5
1955-02-09,2.532524686356187,infilled_5
1955-02-10,2.0994396709610044,infilled_5
1955-02-11,1.7643945787717465,infilled_5
1955-02-12,1.6788292865551895,infilled_5
1955-02-13,2.995141898242968,infilled_5
1955-02-14,4.519443371479564,infilled_5
1955-02-15,3.4734430562102467,infilled_5
1955-02-16,2.451169185371134,infilled_5
1955-02-17,1.904608588997939,infilled_5
1955-02-18,1.6034781384614607,infilled_5
1955-02-19,1.3960761661590866,infilled_5
1955-02-20,1.2769003618704673,infilled_5
1955-02-21,1.154092397235116,infilled_5
1955-02-22,1.0889718425236437,infilled_5
1955-02-23,1.0640165268503226,infilled_5
1955-02-24,1.139219741949823,infilled_5
1955-02-25,1.0412398217028667,infilled_5
1955-02-26,0.9971874527100671,infilled_5
1955-02-27,0.995101137296367,infilled_5
1955-02-28,1.0048787554457161,infilled_5
1955-03-01,0.9486936290718856,infilled_5
1955-03-02,0.8477117206877597,infilled_5
1955-03-03,0.8350226688264036,infilled_5
1955-03-04,0.8282346573913411,infilled_5
1955-03-05,0.7905173877069968,infilled_5
1955-03-06,0.8036741960750687,infilled_5
1955-03-07,0.8150151237903869,infilled_5
1955-03-08,0.835411232018076,infilled_5
1955-03-09,0.8472559654244468,infilled_5
1955-03-10,1.1384437205416575,infilled_5
1955-03-11,1.3495072011788147,infilled_5
1955-03-12,1.563875377338587,infilled_5
1955-03-13,1.3531359221391834,infilled_5
1955-03-14,1.1327307069100228,infilled_5
1955-03-15,1.051897293377576,infilled_5
1955-03-16,0.9698618684983052,infilled_5
1955-03-17,0.9614259947509342,infilled_5
1955-03-18,0.9233582592497548,infilled_5
1955-03-19,0.8656090756419492,infilled_5
1955-03-20,0.9997810833373703,infilled_5
1955-03-21,1.1525258210695217,infilled_5
1955-03-22,1.386700419525607,infilled_5
1955-03-23,1.5169942509097454,infilled_5
1955-03-24,1.4687652780434473,infilled_5
1955-03-25,1.2667071824853708,infilled_5
1955-03-26,1.093005647358625,infilled_5
1955-03-27,1.1292389736996564,infilled_5
1955-03-28,1.46431947084766,infilled_5
1955-03-29,3.744092942419715,infilled_5
1955-03-30,3.473694899698957,infilled_5
1955-03-31,5.731022995826942,infilled_5
1955-04-01,7.448415548727243,infilled_5
1955-04-02,3.920843845485288,infilled_5
1955-04-03,2.9448865888934126,infilled_5
1955-04-04,2.4663418988629973,infilled_5
1955-04-05,2.4183149532719255,infilled_5
1955-04-06,2.778854668442055,infilled_5
1955-04-07,5.042860540642298,infilled_5
1955-04-08,10.864728336054247,infilled_5
1955-04-09,13.154641201978214,infilled_5
1955-04-10,10.149005734524456,infilled_5
1955-04-11,5.999857113648582,infilled_5
1955-04-12,5.526251687354246,infilled_5
1955-04-13,4.911820290994718,infilled_5
1955-04-14,4.192183383390663,infilled_5
1955-04-15,3.64559765791165,infilled_5
1955-04-16,3.1505073882029864,infilled_5
1955-04-17,2.7949499796023987,infilled_5
1955-04-18,2.5170263944872344,infilled_5
1955-04-19,2.239525957409581,infilled_5
1955-04-20,2.0524630698616244,infilled_5
1955-04-21,2.102492432252174,infilled_5
1955-04-22,2.1472580726996253,infilled_5
1955-04-23,2.4746237264244746,infilled_5
1955-04-24,1.9864968812954582,infilled_5
1955-04-25,1.6217490135954906,infilled_5
1955-04-26,1.4837657610288142,infilled_5
1955-04-27,1.3519853683603353,infilled_5
1955-04-28,1.3055561832365086,infilled_5
1955-04-29,1.2965498275654934,infilled_5
1955-04-30,1.4383011377278205,infilled_5
1955-05-01,1.6451111538975656,infilled_5
1955-05-02,1.752564100740204,infilled_5
1955-05-03,1.7988327953179428,infilled_5
1955-05-04,2.0109354285928216,infilled_5
1955-05-05,2.4858438541870718,infilled_5
1955-05-06,2.689394989220444,infilled_5
1955-05-07,2.970046601766238,infilled_5
1955-05-08,3.348047692517114,infilled_5
1955-05-09,2.510140020276139,infilled_5
1955-05-10,2.3689018084621747,infilled_5
1955-05-11,4.069464448066306,infilled_5
1955-05-12,3.976788693613645,infilled_5
1955-05-13,2.989389139434994,infilled_5
1955-05-14,2.8403251416991524,infilled_5
1955-05-15,4.187286030382553,infilled_5
1955-05-16,4.832561504544107,infilled_5
1955-05-17,5.639056828719686,infilled_5
1955-05-18,10.999425727246942,infilled_5
1955-05-19,16.004043993160643,infilled_5
1955-05-20,7.680521613192152,infilled_5
1955-05-21,5.331891106926716,infilled_5
1955-05-22,5.130902718537505,infilled_5
1955-05-23,5.372581163384574,infilled_5
1955-05-24,6.419689686884738,infilled_5
1955-05-25,8.051201984568614,infilled_5
1955-05-26,8.55217253535728,infilled_5
1955-05-27,8.355101696099448,infilled_5
1955-05-28,7.882663350903426,infilled_5
