date,STATION_NUMBER,water_level_m,quality_symbol
2021-09-27,07SA008,6.563000202178955,
2021-10-27,07SA008,6.579999923706055,
2021-11-27,07SA008,6.591000080108643,
2021-12-27,07SA008,6.565999984741211,
2022-01-27,07SA008,6.414999961853027,
2022-02-27,07SA008,6.22599983215332,
2022-03-27,07SA008,6.086999893188477,
2022-04-27,07SA008,5.973999977111816,
2022-05-27,07SA008,6.341000080108643,
2022-06-27,07SA008,6.86299991607666,
2022-07-27,07SA008,6.823999881744385,
2022-08-27,07SA008,6.556000232696533,
2022-09-27,07SA008,6.377999782562256,
2022-10-27,07SA008,6.370999813079834,
2022-11-27,07SA008,6.263999938964844,
2022-12-27,07SA008,6.188000202178955,
2023-01-27,07SA008,6.0970001220703125,
2023-02-27,07SA008,6.067999839782715,
2023-03-27,07SA008,5.947000026702881,
2023-04-27,07SA008,5.826000213623047,
2023-05-27,07SA008,6.507999897003174,
2023-06-27,07SA008,6.736000061035156,
2023-07-27,07SA008,6.599999904632568,
2023-08-27,07SA008,6.276000022888184,
2023-09-27,07SA008,6.181000232696533,
2023-10-27,07SA008,5.96999979019165,
2023-11-27,07SA008,6.1479997634887695,
2023-12-27,07SA008,6.152999877929688,
2024-01-27,07SA008,6.079999923706055,
2024-02-27,07SA008,6.014999866485596,
2024-03-27,07SA008,6.01200008392334,
2024-04-27,07SA008,5.875999927520752,
2024-05-27,07SA008,6.764999866485596,
2024-06-27,07SA008,7.441999912261963,
2024-07-27,07SA008,6.9079999923706055,
2024-08-27,07SA008,6.515999794006348,
2024-09-27,07SA008,6.510000228881836,
2024-10-27,07SA008,6.488999843597412,
2024-11-27,07SA008,6.557000160217285,
2024-12-27,07SA008,6.537000179290772,
2002-01-28,07SA008,6.301000118255615,
2002-02-28,07SA008,6.145999908447266,
2002-03-28,07SA008,6.001999855041504,
2002-04-28,07SA008,5.925000190734863,
2002-05-28,07SA008,6.0929999351501465,
2002-06-28,07SA008,6.995999813079834,
2002-07-28,07SA008,7.283999919891357,
2002-08-28,07SA008,7.025000095367432,
2002-09-28,07SA008,7.051000118255615,
2002-10-28,07SA008,6.9730000495910645,
2002-11-28,07SA008,6.750999927520752,
2002-12-28,07SA008,6.565000057220459,
2003-01-28,07SA008,6.519000053405762,
2003-02-28,07SA008,6.263999938964844,
2003-03-28,07SA008,6.085000038146973,
2003-04-28,07SA008,5.993000030517578,
2003-05-28,07SA008,6.414000034332275,
2003-06-28,07SA008,7.045000076293945,
2003-07-28,07SA008,6.817999839782715,
2003-08-28,07SA008,6.611999988555908,
2003-09-28,07SA008,6.343999862670898,
2003-10-28,07SA008,6.302999973297119,
2003-11-28,07SA008,6.275000095367432,
2003-12-28,07SA008,6.2170000076293945,
2004-01-28,07SA008,6.140999794006348,
2004-02-28,07SA008,5.999000072479248,
2004-03-28,07SA008,5.938000202178955,
2004-04-28,07SA008,5.810999870300293,
2004-05-28,07SA008,5.816999912261963,
2004-06-28,07SA008,7.0229997634887695,
